Collie			
RE: 525K
camber: 24.7%
t/c : 1.8%
alpha	Cl	alpha	Cd
5.0	2.111	5.0	0.253
7.5	2.551	7.5	0.306
10.0	2.892	10.0	0.355
12.5	2.730	12.5	0.380
15.0	2.549	15.0	0.408
17.5	2.624	17.5	0.443
20.0	2.837	20.0	0.471
22.5	2.991	22.5	0.513
25.0	3.145	25.0	0.654
27.5	3.328	27.5	0.858
30.0	3.591	30.0	1.309
